sample_id,run_ref,criterion,sam_verdict,notes
cal-001,7d59cb5d66,All existing shallow tests still pass,,
cal-002,3469c1086b,"HelpFormatter().write_usage(""program"") followed by getvalue() returns exactly ""Usage: program"" plus a newline",,
cal-003,1c18c89857,"A command calling click.prompt on a styled message, invoked via CliRunner with color=False, produces output with no ANSI escape sequences",,
cal-004,66f95ba310,"Completing a Choice over an Enum suggests member names such as ""foo"", never ""MyEnum.foo""",,
cal-005,cd5f9aaa65,"shallow({ a: undefined }, { a: undefined }) still returns true",,
cal-006,763eb5afdd,"For case_sensitive=False the suggestions are the normalized lowercased values, and the existing case-sensitivity completion test expectation is updated accordingly",,
cal-007,b7c5fbfc09,Suggested completions are the same normalized values that Choice.convert accepts,,
cal-008,8864f90759,The emitted usage line has no trailing spaces after the program name,,
cal-009,763eb5afdd,Tests in tests/test_shell_completion.py cover enum-backed Choice completion,,
cal-010,4f86489e49,New tests assert the shimmed split_arg_string is the function from click.shell_completion,,
cal-011,dfcff21e9d,The whole repo still passes tsc --noEmit,,
cal-012,59dd13e824,"In an environment with a non-functional globalThis.localStorage and no window, creating a persisted store and calling setState does not throw; persist falls into its existing storage-unavailable warning path",,
cal-013,20b546c849,"Correctly typed devtools initializers still compile, including set/get inference inside the initializer",,
cal-014,392f2828f3,New tests assert an unknown attribute on click.parser raises AttributeError,,
cal-015,0f373921e5,New tests assert the shimmed split_arg_string is the function from click.shell_completion,,
cal-016,1c18c89857,"A command calling click.confirm on a styled message, invoked via CliRunner with color=False, produces output with no ANSI escape sequences",,
cal-017,1cbc7c7fd0,The persist default storage is obtained via window.localStorage rather than a bare localStorage global,,
cal-018,bdc2db2a0b,A type-level regression test in tests/middlewareTypes.test.tsx covers the erased-inference scenario,,
cal-019,6048906940,"Output for calls with non-empty args is unchanged, including wrapping behavior",,
cal-020,8c20178c2c,"With color=True the ANSI codes in the prompt text are preserved, matching echo behavior",,
cal-021,a087beed9e,The full tests/test_parser.py file passes under the repo's pytest config with warnings as errors,,
cal-022,c6a33e9282,Tests cover actions defined in the creator updating and reading combined state via set/get,,
cal-023,8c20178c2c,"A command calling click.confirm on a styled message, invoked via CliRunner with color=False, produces output with no ANSI escape sequences",,
cal-024,290a105742,"shallow({ a: undefined }, { b: 1 }) returns false",,
cal-025,8c45f5bf74,The whole repo still passes tsc --noEmit,,
cal-026,258b0a0736,tests/combine.test.tsx exists and passes under vitest,,
cal-027,8c20178c2c,New tests in tests/test_termui.py cover confirm and prompt with color enabled and disabled,,
cal-028,4db972bb2f,Tests cover merged initial state and creator-value precedence on overlapping keys,,
cal-029,7420daaea6,"Completing a Choice over an Enum suggests member names such as ""foo"", never ""MyEnum.foo""",,
cal-030,7e455ac072,"Output for calls with non-empty args is unchanged, including wrapping behavior",,
cal-031,8864f90759,"HelpFormatter().write_usage(""program"") followed by getvalue() returns exactly ""Usage: program"" plus a newline",,
cal-032,c3eb32d18b,All existing shallow tests still pass,,
cal-033,a087beed9e,New tests assert the shimmed split_arg_string is the function from click.shell_completion,,
cal-034,763eb5afdd,Suggested completions are the same normalized values that Choice.convert accepts,,
cal-035,032760777d,"A command calling click.confirm on a styled message, invoked via CliRunner with color=False, produces output with no ANSI escape sequences",,
cal-036,032760777d,New tests in tests/test_termui.py cover confirm and prompt with color enabled and disabled,,
cal-037,8864f90759,"Output for calls with non-empty args is unchanged, including wrapping behavior",,
cal-038,1cbc7c7fd0,"In an environment with a non-functional globalThis.localStorage and no window, creating a persisted store and calling setState does not throw; persist falls into its existing storage-unavailable warning path",,
cal-039,c3f0af0a8e,Tests cover merged initial state and creator-value precedence on overlapping keys,,
cal-040,bf4ab4ba6d,Tests cover actions defined in the creator updating and reading combined state via set/get,,
cal-041,520857f352,"createStore<Store>()(devtools((set) => ({ ...wrong shape... }))) produces a type error, matching the behavior without devtools",,
cal-042,20b546c849,A type-level regression test in tests/middlewareTypes.test.tsx covers the erased-inference scenario,,
cal-043,7420daaea6,Suggested completions are the same normalized values that Choice.convert accepts,,
cal-044,18b7d6e137,A regression test in tests/vanilla/shallow.test.tsx covers the undefined-value key-mismatch case,,
cal-045,3469c1086b,"Output for calls with non-empty args is unchanged, including wrapping behavior",,
cal-046,032760777d,"A command calling click.prompt on a styled message, invoked via CliRunner with color=False, produces output with no ANSI escape sequences",,
cal-047,c6a33e9282,No pre-existing file is modified,,
cal-048,a7f858a66a,No pre-existing file is modified,,
cal-049,7d59cb5d66,A regression test in tests/vanilla/shallow.test.tsx covers the undefined-value key-mismatch case,,
cal-050,b7c5fbfc09,"Completing a Choice over an Enum suggests member names such as ""foo"", never ""MyEnum.foo""",,
cal-051,2f040f7694,The full tests/test_parser.py file passes under the repo's pytest config with warnings as errors,,
cal-052,d6f740c61f,"In an environment with a non-functional globalThis.localStorage and no window, creating a persisted store and calling setState does not throw; persist falls into its existing storage-unavailable warning path",,
cal-053,7744506f1e,"Correctly typed devtools initializers still compile, including set/get inference inside the initializer",,
cal-054,520857f352,The whole repo still passes tsc --noEmit,,
cal-055,020ddf8b0b,"Output for calls with non-empty args is unchanged, including wrapping behavior",,
cal-056,bf4ab4ba6d,tests/combine.test.tsx exists and passes under vitest,,
cal-057,d44918b9f0,"A command calling click.confirm on a styled message, invoked via CliRunner with color=False, produces output with no ANSI escape sequences",,
cal-058,20b546c849,"createStore<Store>()(devtools((set) => ({ ...wrong shape... }))) produces a type error, matching the behavior without devtools",,
cal-059,392f2828f3,New tests assert the shimmed split_arg_string is the function from click.shell_completion,,
cal-060,461adf3943,"A command calling click.prompt on a styled message, invoked via CliRunner with color=False, produces output with no ANSI escape sequences",,
cal-061,290a105742,All existing shallow tests still pass,,
cal-062,cdc8edf657,The emitted usage line has no trailing spaces after the program name,,
cal-063,cd5f9aaa65,A regression test in tests/vanilla/shallow.test.tsx covers the undefined-value key-mismatch case,,
cal-064,020ddf8b0b,A caller-supplied prefix is preserved when args is empty,,
cal-065,c3eb32d18b,A regression test in tests/vanilla/shallow.test.tsx covers the undefined-value key-mismatch case,,
cal-066,8a0d5a115a,New tests assert a DeprecationWarning is emitted for each of the seven shimmed names on click.parser,,
cal-067,8a0d5a115a,New tests assert the shimmed split_arg_string is the function from click.shell_completion,,
cal-068,63e8ff6213,"A command calling click.prompt on a styled message, invoked via CliRunner with color=False, produces output with no ANSI escape sequences",,
cal-069,20b546c849,The whole repo still passes tsc --noEmit,,
cal-070,a571a59c20,Tests in tests/test_shell_completion.py cover enum-backed Choice completion,,
cal-071,a570b8a29f,Tests in tests/test_shell_completion.py cover enum-backed Choice completion,,
cal-072,66f95ba310,"For case_sensitive=False the suggestions are the normalized lowercased values, and the existing case-sensitivity completion test expectation is updated accordingly",,
cal-073,1c18c89857,New tests in tests/test_termui.py cover confirm and prompt with color enabled and disabled,,
cal-074,032760777d,"With color=True the ANSI codes in the prompt text are preserved, matching echo behavior",,
cal-075,bf4ab4ba6d,No pre-existing file is modified,,
cal-076,2b6415c789,"In an environment with a non-functional globalThis.localStorage and no window, creating a persisted store and calling setState does not throw; persist falls into its existing storage-unavailable warning path",,
cal-077,4db972bb2f,Tests cover actions defined in the creator updating and reading combined state via set/get,,
cal-078,3469c1086b,The emitted usage line has no trailing spaces after the program name,,
cal-079,a087beed9e,New tests assert an unknown attribute on click.parser raises AttributeError,,
cal-080,4f86489e49,New tests assert a DeprecationWarning is emitted for each of the seven shimmed names on click.parser,,
cal-081,258b0a0736,Tests cover merged initial state and creator-value precedence on overlapping keys,,
cal-082,290a105742,"shallow({ a: undefined }, { a: undefined }) still returns true",,
cal-083,520857f352,"Correctly typed devtools initializers still compile, including set/get inference inside the initializer",,
cal-084,a7f858a66a,Tests cover actions defined in the creator updating and reading combined state via set/get,,
cal-085,59dd13e824,Existing persist behavior in browser-like environments is unchanged and the persist test suites still pass,,
cal-086,09e4afcf65,"In an environment with a non-functional globalThis.localStorage and no window, creating a persisted store and calling setState does not throw; persist falls into its existing storage-unavailable warning path",,
cal-087,020ddf8b0b,"HelpFormatter().write_usage(""program"") followed by getvalue() returns exactly ""Usage: program"" plus a newline",,
cal-088,7420daaea6,Tests in tests/test_shell_completion.py cover enum-backed Choice completion,,
cal-089,020ddf8b0b,The emitted usage line has no trailing spaces after the program name,,
cal-090,a570b8a29f,"For case_sensitive=False the suggestions are the normalized lowercased values, and the existing case-sensitivity completion test expectation is updated accordingly",,
cal-091,c3eb32d18b,"shallow({ a: undefined }, { b: 1 }) returns false",,
cal-092,8c45f5bf74,"createStore<Store>()(devtools((set) => ({ ...wrong shape... }))) produces a type error, matching the behavior without devtools",,
cal-093,8a0d5a115a,The full tests/test_parser.py file passes under the repo's pytest config with warnings as errors,,
cal-094,18b7d6e137,"shallow({ a: undefined }, { a: undefined }) still returns true",,
cal-095,8c45f5bf74,"Correctly typed devtools initializers still compile, including set/get inference inside the initializer",,
cal-096,c3f0af0a8e,Tests cover actions defined in the creator updating and reading combined state via set/get,,
cal-097,2f040f7694,New tests assert an unknown attribute on click.parser raises AttributeError,,
