sample_id,run_id,criterion_index,judge_verdict
cal-001,zustand-t01--claudemd--sonnet--r3,4,cannot_judge
cal-002,click-t03--claudemd--sonnet--r1,1,met
cal-003,click-t01--claudemd--sonnet--r3,2,met
cal-004,click-t02--claudemd--sonnet--r1,1,met
cal-005,zustand-t01--vanilla--sonnet--r2,2,met
cal-006,click-t02--vanilla--sonnet--r3,3,met
cal-007,click-t02--vanilla--sonnet--r2,2,met
cal-008,click-t03--vanilla--sonnet--r3,3,met
cal-009,click-t02--vanilla--sonnet--r3,4,met
cal-010,click-t04--vanilla--sonnet--r3,2,met
cal-011,zustand-t03--vanilla--sonnet--r3,4,cannot_judge
cal-012,zustand-t02--claudemd--sonnet--r3,2,met
cal-013,zustand-t03--vanilla--sonnet--r1,2,cannot_judge
cal-014,click-t04--claudemd--sonnet--r3,3,met
cal-015,click-t04--claudemd--sonnet--r2,2,met
cal-016,click-t01--claudemd--sonnet--r3,1,met
cal-017,zustand-t02--vanilla--sonnet--r1,1,met
cal-018,zustand-t03--claudemd--sonnet--r3,3,met
cal-019,click-t03--claudemd--sonnet--r2,4,met
cal-020,click-t01--claudemd--sonnet--r2,3,met
cal-021,click-t04--vanilla--sonnet--r1,4,cannot_judge
cal-022,zustand-t04--vanilla--sonnet--r1,3,not_met
cal-023,click-t01--claudemd--sonnet--r2,1,met
cal-024,zustand-t01--claudemd--sonnet--r1,1,met
cal-025,zustand-t03--vanilla--sonnet--r2,4,cannot_judge
cal-026,zustand-t04--vanilla--sonnet--r2,1,not_met
cal-027,click-t01--claudemd--sonnet--r2,4,met
cal-028,zustand-t04--claudemd--sonnet--r1,2,not_met
cal-029,click-t02--claudemd--sonnet--r2,1,met
cal-030,click-t03--vanilla--sonnet--r2,4,met
cal-031,click-t03--vanilla--sonnet--r3,1,met
cal-032,zustand-t01--vanilla--sonnet--r1,4,cannot_judge
cal-033,click-t04--vanilla--sonnet--r1,2,met
cal-034,click-t02--vanilla--sonnet--r3,2,met
cal-035,click-t01--vanilla--sonnet--r3,1,met
cal-036,click-t01--vanilla--sonnet--r3,4,met
cal-037,click-t03--vanilla--sonnet--r3,4,met
cal-038,zustand-t02--vanilla--sonnet--r1,2,met
cal-039,zustand-t04--vanilla--sonnet--r3,2,not_met
cal-040,zustand-t04--claudemd--sonnet--r3,3,not_met
cal-041,zustand-t03--claudemd--sonnet--r1,1,met
cal-042,zustand-t03--vanilla--sonnet--r1,3,met
cal-043,click-t02--claudemd--sonnet--r2,2,met
cal-044,zustand-t01--vanilla--sonnet--r3,3,met
cal-045,click-t03--claudemd--sonnet--r1,4,met
cal-046,click-t01--vanilla--sonnet--r3,2,met
cal-047,zustand-t04--vanilla--sonnet--r1,4,cannot_judge
cal-048,zustand-t04--claudemd--sonnet--r2,4,met
cal-049,zustand-t01--claudemd--sonnet--r3,3,met
cal-050,click-t02--vanilla--sonnet--r2,1,met
cal-051,click-t04--claudemd--sonnet--r1,4,cannot_judge
cal-052,zustand-t02--claudemd--sonnet--r2,2,met
cal-053,zustand-t03--claudemd--sonnet--r2,2,met
cal-054,zustand-t03--claudemd--sonnet--r1,4,cannot_judge
cal-055,click-t03--claudemd--sonnet--r3,4,met
cal-056,zustand-t04--claudemd--sonnet--r3,1,not_met
cal-057,click-t01--vanilla--sonnet--r1,1,met
cal-058,zustand-t03--vanilla--sonnet--r1,1,met
cal-059,click-t04--claudemd--sonnet--r3,2,met
cal-060,click-t01--claudemd--sonnet--r1,2,met
cal-061,zustand-t01--claudemd--sonnet--r1,4,cannot_judge
cal-062,click-t03--vanilla--sonnet--r1,3,met
cal-063,zustand-t01--vanilla--sonnet--r2,3,met
cal-064,click-t03--claudemd--sonnet--r3,2,met
cal-065,zustand-t01--vanilla--sonnet--r1,3,met
cal-066,click-t04--vanilla--sonnet--r2,1,met
cal-067,click-t04--vanilla--sonnet--r2,2,met
cal-068,click-t01--vanilla--sonnet--r2,2,met
cal-069,zustand-t03--vanilla--sonnet--r1,4,cannot_judge
cal-070,click-t02--vanilla--sonnet--r1,4,met
cal-071,click-t02--claudemd--sonnet--r3,4,met
cal-072,click-t02--claudemd--sonnet--r1,3,met
cal-073,click-t01--claudemd--sonnet--r3,4,met
cal-074,click-t01--vanilla--sonnet--r3,3,met
cal-075,zustand-t04--claudemd--sonnet--r3,4,cannot_judge
cal-076,zustand-t02--claudemd--sonnet--r1,2,met
cal-077,zustand-t04--claudemd--sonnet--r1,3,not_met
cal-078,click-t03--claudemd--sonnet--r1,3,met
cal-079,click-t04--vanilla--sonnet--r1,3,met
cal-080,click-t04--vanilla--sonnet--r3,1,met
cal-081,zustand-t04--vanilla--sonnet--r2,2,not_met
cal-082,zustand-t01--claudemd--sonnet--r1,2,met
cal-083,zustand-t03--claudemd--sonnet--r1,2,met
cal-084,zustand-t04--claudemd--sonnet--r2,3,not_met
cal-085,zustand-t02--claudemd--sonnet--r3,3,cannot_judge
cal-086,zustand-t02--vanilla--sonnet--r3,2,met
cal-087,click-t03--claudemd--sonnet--r3,1,met
cal-088,click-t02--claudemd--sonnet--r2,4,met
cal-089,click-t03--claudemd--sonnet--r3,3,met
cal-090,click-t02--claudemd--sonnet--r3,3,met
cal-091,zustand-t01--vanilla--sonnet--r1,1,met
cal-092,zustand-t03--vanilla--sonnet--r2,1,met
cal-093,click-t04--vanilla--sonnet--r2,4,cannot_judge
cal-094,zustand-t01--vanilla--sonnet--r3,2,cannot_judge
cal-095,zustand-t03--vanilla--sonnet--r2,2,met
cal-096,zustand-t04--vanilla--sonnet--r3,3,not_met
cal-097,click-t04--claudemd--sonnet--r1,3,met
cal-098,zustand-t04--claudemd--sonnet--r3,2,not_met
cal-099,zustand-t02--vanilla--sonnet--r3,3,cannot_judge
cal-100,click-t03--claudemd--sonnet--r1,2,met
